animal_type,weight_kg,height_cm,age_years,number_of_friends,birth_date,birth_unix,color,can_fly,can_swim,can_run,watches_youtube,daily_food_grams,popularity_score,social_media
bird,28.602669690571616,60.91621816546925,9,7,2016-12-13,1481587200,green,True,True,True,False,75.93226474734959,8.444841066798203,My singing was featured in the background of that new nature film. #MovieStar
cat,2.769048995177867,95.21641089107854,5,4,2020-12-09,1607472000,mixed,True,True,False,False,111.55062865609325,5.453408141217134,That movie with the orange cat was completely unrealistic. We're much more cunning.
bird,26.734249237144674,73.52973547445077,8,9,2017-01-06,1483660800,gray,False,True,False,False,91.88839306537369,10.0,Theater critics loved my dawn performance. Five star reviews! 🎭
cat,4.678626868639468,92.49608611436302,4,2,2021-12-18,1639785600,red,True,True,True,False,84.91690349579088,6.244767621177498,My human thinks I can't open the food cabinet. They're so naive. #MissionImpossible
fish,13.407003197690656,85.64113073308644,19,2,2006-01-17,1137456000,blue,False,True,True,True,94.30010065228512,7.605909154452376,Three laps around the castle. New personal record.
bird,38.69548174266147,58.049295310822174,14,11,2011-01-10,1294617600,gray,False,True,True,False,68.79976324011203,7.838512835889504,Movie night under the stars! That flying sequence was technically inaccurate. 🎞️
bird,34.552690315919335,54.2786449443622,15,9,2010-01-02,1262390400,mixed,True,True,True,False,69.70663066903367,6.873908873399016,My singing was featured in the background of that new nature film. #MovieStar
cat,2.902817411447421,92.52843271692575,3,2,2022-01-01,1640995200,red,False,True,True,False,107.55302080859674,7.421009235716628,Sitting in the window judging passersby. My theatrical viewing experience.
turtle,32.20784612670404,61.35217596252452,6,3,2019-01-14,1547424000,mixed,True,False,False,True,68.91779381433369,10.0,Taking a nap on my favorite rock. Living my best life. #TurtleJoy
bird,35.742815285082905,48.09967901113471,10,5,2015-02-08,1423353600,gray,True,True,True,False,87.71535219597459,7.323484627994639,Just watched an old classic film with that talking parrot. Such stereotyping! 🎬
cat,1.7133141807206758,107.99015532383042,7,8,2018-01-18,1516233600,mixed,False,True,True,False,98.31624853798512,6.680118603091157,That movie with the orange cat was completely unrealistic. We're much more cunning.
dog,10.251797491162248,87.72607196864998,5,9,2020-02-09,1581206400,green,True,False,False,False,88.84775833668519,8.225012265708497,"SQUIRREL! Oh wait, false alarm. #AlwaysOnGuard"
turtle,45.90480531222531,47.71216117137007,10,1,2015-02-15,1423958400,gray,True,False,True,True,60.56309687088307,8.895092170315843,Planning my next move. ETA: Next Thursday.
turtle,57.999774679140636,29.42323608159623,6,3,2019-01-25,1548374400,mixed,True,False,False,True,45.17607785701208,5.555020611054126,Contemplated the meaning of life for six hours. Made significant progress.
fish,24.057826098537618,74.31102241713879,19,2,2006-01-25,1138147200,blue,False,False,True,True,99.9474207533691,9.192584294979474,Humans tapping on the glass again. Very original.
dog,7.536172539885042,90.085086460811,5,9,2020-01-10,1578614400,mixed,True,False,False,False,98.80337420549067,8.248486626137508,Got to lick a plate clean after dinner! SO AMAZING! BLESSED!
turtle,58.87966451631954,32.135966847326976,10,1,2015-02-27,1424995200,mixed,False,False,False,True,59.68269963508328,5.396573617843471,These action movies are too fast-paced. Can't keep up with the plot when everyone's rushing around. 🎥
turtle,47.10534078676497,49.957234846368415,6,3,2019-02-06,1549411200,mixed,True,False,True,True,61.427682187808536,6.418839149287313,Still thinking about that lettuce from last week. Good times.
bird,30.15171150532686,52.80725498379609,15,9,2010-12-08,1291766400,gray,False,True,True,False,74.69233033203062,6.9626033654272215,That scene in the film where the bird speaks? Completely unrealistic dialogue. #BadWriting
cat,5.078919352510731,97.23672872014261,5,4,2020-01-10,1578614400,red,True,True,True,False,106.70932986486633,8.073813745384248,Spent all day judging everyone. It was exhausting being this superior.
bird,47.98533568804672,39.77074689497611,14,11,2011-12-19,1324252800,mixed,False,True,True,False,88.02658642392186,5.281716471512434,Flying scenes in movies never get the aerodynamics right. #BadPhysics
dog,9.641808741885965,82.90628533739584,4,7,2021-02-11,1613001600,green,False,False,False,False,95.33443138565637,10.0,Got to lick a plate clean after dinner! SO AMAZING! BLESSED!
turtle,33.280970654913176,52.845150767299,6,3,2019-02-13,1550016000,green,False,False,False,True,58.24937425590072,8.02956330695582,Humans always rushing in movies. What's the hurry? Life is long.
turtle,42.852864988586376,49.0646928430843,9,1,2016-02-25,1456358400,green,False,False,True,True,64.68101024148505,6.818994678614168,Taking a nap on my favorite rock. Living my best life. #TurtleJoy
bird,35.904356235132575,58.32468820129691,14,11,2011-12-25,1324771200,gray,True,True,True,False,74.19830466454293,9.895555292601797,Performed my song on a stage of branches this morning. The audience went wild! 🎭
turtle,47.15932039836005,40.28010795677541,5,1,2020-12-10,1607558400,mixed,False,False,False,True,56.10741010767886,5.625461880292498,Planned my route to the food bowl. Execution scheduled for tomorrow.
turtle,50.1495614083202,33.528894103122276,8,3,2017-01-15,1484438400,mixed,False,False,False,True,74.15759072853339,5.628458644047483,Taking a nap on my favorite rock. Living my best life. #TurtleJoy
bird,26.54438536067252,68.72010870704636,13,9,2012-12-05,1354665600,mixed,False,True,True,False,65.45515125529798,8.46126115687264,My singing was featured in the background of that new nature film. #MovieStar
turtle,21.833914294802916,74.1463385168909,8,3,2017-01-14,1484352000,mixed,True,False,False,True,81.5941363943937,9.855764050080193,Humans always rushing in movies. What's the hurry? Life is long.
cat,3.443986182520308,98.87376290124514,6,6,2019-01-15,1547510400,red,True,True,False,False,104.66244951298796,7.5746870190755216,Just knocked over a vase. No regrets. #CatLife
cat,4.845415581838307,97.62247741642192,2,4,2023-12-09,1702080000,red,True,True,True,False,98.82391287495315,8.089809501085632,Humans think these 'cat movies' represent us accurately. How disappointing.
turtle,32.305252212430176,67.05658851851851,6,3,2019-12-10,1575936000,mixed,False,False,True,True,81.60086432541029,9.269669738808155,Planning my next move. ETA: Next Thursday.
turtle,38.21157310752456,57.51609610784341,9,1,2016-01-08,1452211200,mixed,False,False,False,True,81.4209140549504,8.849689098851723,Taking a nap on my favorite rock. Living my best life. #TurtleJoy
fish,18.299986621189404,69.87911277423956,18,1,2007-12-12,1197417600,blue,True,False,False,True,91.91738852915734,9.848010962592063,The lighting in this tank is terrible for my complexion. #FilterNeeded
bird,27.34947857096058,67.13420816482272,13,9,2012-01-13,1326412800,gray,True,True,True,False,84.85122538979039,9.737898950858343,"Singing since 5am. The neighborhood loves me, I'm sure of it."
fish,21.972109394724473,78.63351422671731,18,1,2007-02-07,1170806400,blue,False,False,True,True,85.15622368425797,9.072741591911477,Humans tapping on the glass again. Very original.
fish,18.615714539017507,81.90143824217428,13,4,2012-02-26,1330214400,blue,False,False,False,True,88.35850225452711,10.0,The lighting in this tank is terrible for my complexion. #FilterNeeded
cat,5.715267547118072,105.29036473738388,6,6,2019-01-04,1546560000,red,False,True,True,False,77.82157867973005,6.070467758690858,Humans think these 'cat movies' represent us accurately. How disappointing.
turtle,42.999591049335585,52.84627561265215,4,1,2021-02-21,1613865600,mixed,False,False,True,True,75.79913895433825,8.44550465683768,Planned my route to the food bowl. Execution scheduled for tomorrow.
turtle,52.115678999366736,30.727507257626044,10,1,2015-12-17,1450310400,mixed,True,False,True,True,53.52086604363836,4.8334670012722265,Humans always rushing in movies. What's the hurry? Life is long.
fish,27.355575740142232,59.272351122795335,19,2,2006-01-21,1137801600,blue,True,False,False,True,92.0682454257421,7.659854926777011,Three laps around the castle. New personal record.
bird,32.31173360773522,61.50567753081067,10,5,2015-01-02,1420156800,gray,False,True,True,False,80.59353848935251,7.751386284751761,Movie night under the stars! That flying sequence was technically inaccurate. 🎞️
dog,9.294952511882633,89.60056853184166,2,9,2023-02-01,1675209600,green,False,False,True,False,74.40803693216927,7.282953057914064,My human came home today! Best. Day. Ever! Same as yesterday! #Loyalty
cat,3.1145277556270994,93.5205979632443,6,6,2019-01-11,1547164800,mixed,True,True,False,False,96.67620402310455,7.755394210062107,My humans watched a film about cats last night. Complete propaganda.
turtle,50.86975409921776,42.796936960992184,7,5,2018-02-02,1517529600,mixed,False,False,False,True,59.61499291534028,6.2986008770463044,Contemplated the meaning of life for six hours. Made significant progress.
turtle,47.82005409069274,30.044648230942137,5,1,2020-01-11,1578700800,gray,True,False,False,True,64.15332539651692,6.3386773456690335,Still thinking about that lettuce from last week. Good times.
fish,22.80999326025897,70.3082295388879,11,1,2014-12-08,1417996800,blue,True,False,True,True,93.74074134355682,8.579489010533663,New filter day. Not sure if improvement or disruption to my routine.
cat,1.3561706415244505,86.95801697589633,7,8,2018-02-13,1518480000,red,False,True,False,False,97.0119058619438,7.510830722998618,My humans watched a film about cats last night. Complete propaganda.
fish,19.05946484139037,73.3686239946027,18,1,2007-12-22,1198281600,blue,True,False,False,True,85.6230159342137,9.842104155095452,Watched 'Finding Nemo' for the 100th time. Still upset about the inaccurate portrayal of marine life. 🎬
dog,11.257842633730515,84.75445570017322,2,9,2023-01-06,1672963200,green,False,True,True,False,102.10637808083843,9.695809256033446,Just rolled in something AMAZING smelling! SO HAPPY RIGHT NOW!
fish,20.64691216504045,80.47992640964345,17,1,2008-02-09,1202515200,blue,False,False,True,True,65.3505673827682,8.293416897872412,"Same bowl, different day. #AquariumLife"
